Region,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
TR10,20.3,20.7,20.6,19.3,18.9,17.9,17.6,16.6,16.3,16.1,15.8,15.6,15.5,15.6,15.9
TR21,25.4,22.3,20.6,21.0,21.6,22.9,20.8,19.9,19.4,19.5,20.3,19.7,19.5,18.3,19.3
TR22,29.0,30.1,27.5,25.6,24.0,23.2,21.4,19.1,20.5,22.4,24.6,24.2,23.6,22.9,22.7
TR31,21.4,19.9,21.1,21.5,22.0,20.3,20.1,18.4,17.8,17.8,18.0,18.0,17.5,18.0,18.5
TR32,30.0,25.6,24.0,22.7,23.5,22.6,22.3,20.0,18.9,20.3,22.1,23.3,21.8,20.8,20.9
TR33,32.2,26.1,25.6,26.2,26.8,25.6,24.3,22.7,21.9,22.1,20.9,21.5,21.0,22.0,22.1
TR41,25.7,23.1,22.6,21.9,21.6,20.5,20.1,19.1,18.9,18.1,18.2,18.0,18.8,18.3,19.1
TR42,26.9,23.5,24.2,22.4,23.0,22.3,21.7,20.8,19.6,19.4,18.9,18.5,18.8,18.7,19.9
TR51,21.1,21.0,20.3,19.9,19.5,19.0,18.4,17.6,17.3,16.5,16.9,16.7,17.3,17.8,18.3
TR52,29.4,25.5,25.0,22.4,23.0,22.4,22.1,21.3,20.9,20.1,19.8,20.4,20.8,21.1,21.5
TR61,25.6,23.4,23.3,22.2,22.1,22.6,23.1,21.2,19.5,18.2,17.5,18.0,18.7,19.6,19.7
TR62,30.1,27.8,26.9,24.9,24.4,23.8,22.6,21.0,19.5,19.4,20.3,20.7,21.4,21.4,21.7
TR63,32.7,29.8,28.3,27.4,28.3,27.7,26.3,25.2,24.3,24.2,22.7,22.2,22.6,23.4,25.2
TR71,31.2,31.5,31.6,29.0,27.2,26.2,27.5,24.5,24.5,23.0,25.6,24.2,25.3,25.4,26.7
TR72,34.7,30.9,27.7,26.3,25.4,25.5,23.7,22.9,22.8,22.0,22.6,22.8,22.6,22.8,22.8
TR81,33.9,29.0,28.4,27.7,27.0,25.8,24.7,23.7,22.8,21.8,21.3,21.1,19.9,20.2,20.7
TR82,33.8,27.0,26.1,27.4,28.0,28.1,27.7,25.9,24.8,24.4,24.6,22.4,20.9,21.0,24.3
TR83,34.2,31.5,29.1,28.8,26.9,26.9,26.2,25.7,25.2,26.1,25.6,27.2,26.4,26.1,26.3
TR90,31.0,29.0,27.8,26.1,26.8,26.8,26.8,25.1,24.6,24.2,22.4,21.8,22.0,22.5,24.2
TRA1,33.4,28.5,26.3,26.2,24.8,26.4,26.6,25.6,23.8,22.8,22.9,23.1,22.3,23.4,23.6
TRA2,39.6,39.3,35.7,33.9,35.4,35.7,32.9,30.6,29.7,27.8,28.4,28.5,29.3,27.5,25.4
TRB1,29.8,30.5,29.0,25.9,24.1,22.9,21.8,21.6,22.4,22.6,22.1,21.8,23.3,22.9,24.7
TRB2,41.7,38.1,35.5,33.6,30.6,31.6,29.1,28.5,28.3,28.7,29.9,31.1,32.6,33.2,34.4
TRC1,33.7,33.3,32.9,32.7,28.2,26.2,24.5,24.8,24.3,23.7,24.0,25.5,24.2,24.2,23.6
TRC2,41.0,41.4,41.4,39.1,35.6,30.9,29.3,28.3,28.3,27.0,27.6,28.8,27.4,28.4,28.4
TRC3,47.6,49.3,48.1,43.4,39.0,36.3,33.6,30.2,29.8,28.5,30.9,30.8,30.5,29.3,29.2
