Region,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
TR10,32.2,31.1,31.5,32.3,33.8,33.4,32.6,30.9,29.3,28.9,29.8,30.4,30.7,29.5,28.6
TR21,26.1,23.9,25.8,27.1,27.9,27.4,25.7,23.8,23.2,24.1,25.3,25.2,24.0,22.2,21.8
TR22,28.6,27.0,27.1,28.5,27.5,27.1,25.6,25.9,25.2,25.8,25.1,24.9,23.6,23.0,21.5
TR31,30.1,28.6,28.9,30.7,30.9,31.6,30.4,29.4,28.2,27.7,27.7,27.3,27.6,27.2,27.6
TR32,27.6,25.7,25.5,25.7,25.6,24.7,23.9,23.3,22.7,22.3,21.7,21.2,20.8,20.7,21.1
TR33,24.0,25.2,26.6,27.6,26.0,24.4,23.5,24.4,23.6,23.2,22.9,23.4,23.2,22.2,21.9
TR41,24.5,26.9,27.4,28.5,28.6,28.4,27.1,25.3,24.6,24.2,24.9,24.4,24.1,23.6,23.6
TR42,26.8,27.1,27.7,30.2,29.4,29.2,26.8,26.0,25.0,24.6,23.2,21.9,21.4,20.9,21.4
TR51,30.8,30.0,31.5,33.3,32.4,29.8,27.7,26.8,25.8,26.2,26.7,26.5,25.8,24.9,24.5
TR52,23.1,23.3,25.4,27.7,27.6,26.2,24.3,23.4,22.8,22.9,23.1,22.8,23.3,22.5,23.0
TR61,24.5,23.0,23.8,25.2,25.3,25.2,24.4,24.5,23.4,23.6,24.0,24.0,23.1,21.8,22.5
TR62,23.4,24.4,24.0,25.5,26.3,26.3,25.4,24.5,23.9,23.6,23.6,23.2,23.4,22.9,22.7
TR63,22.1,26.7,25.9,24.3,22.9,22.6,22.4,22.7,22.4,23.2,22.3,22.1,22.7,22.9,23.3
TR71,26.0,23.1,23.1,24.2,24.2,24.5,24.6,24.6,24.2,24.5,24.6,24.4,23.5,21.7,21.5
TR72,26.8,26.4,28.1,29.8,29.0,26.2,24.7,24.5,25.0,24.4,24.5,24.2,24.5,23.7,23.6
TR81,26.9,25.6,25.2,23.3,23.6,23.8,23.0,23.7,23.5,24.4,23.9,23.5,22.5,22.3,22.0
TR82,24.3,24.8,26.0,26.5,25.0,23.6,23.2,24.6,24.6,24.8,24.9,25.8,25.0,23.2,21.9
TR83,25.6,22.9,22.8,24.6,26.1,25.0,23.5,24.4,24.5,24.6,23.8,23.5,23.3,21.7,21.0
TR90,23.9,21.3,21.0,22.9,24.0,24.4,23.4,23.4,23.4,23.7,22.8,21.8,21.8,21.5,21.5
TRA1,25.7,27.1,28.2,27.7,24.4,21.6,20.8,21.1,23.7,23.8,24.8,24.4,22.8,21.2,20.5
TRA2,23.4,19.5,21.6,21.3,20.6,19.5,21.7,22.7,21.6,21.5,22.1,23.8,22.9,21.7,19.8
TRB1,26.3,25.5,26.7,27.8,26.7,26.3,25.2,25.6,24.6,23.5,23.6,23.4,24.2,22.1,22.3
TRB2,22.5,19.3,16.8,16.8,17.3,18.7,18.3,19.8,20.1,20.6,21.6,20.6,20.9,20.8,21.8
TRC1,25.2,24.6,25.5,27.8,26.3,25.6,24.2,25.3,25.9,27.4,26.8,25.4,25.3,25.2,27.2
TRC2,21.3,20.9,22.0,23.1,20.9,21.9,22.5,23.6,22.6,21.0,21.5,20.4,21.2,22.6,24.7
TRC3,18.9,17.6,16.2,17.9,18.7,19.6,21.0,21.8,21.5,21.9,21.2,21.1,20.3,20.7,20.0
