

Ay,gıda: (Türkiye)
2004-01,90
2004-02,76
2004-03,90
2004-04,72
2004-05,83
2004-06,66
2004-07,77
2004-08,68
2004-09,86
2004-10,100
2004-11,73
2004-12,85
2005-01,64
2005-02,79
2005-03,77
2005-04,63
2005-05,72
2005-06,59
2005-07,59
2005-08,57
2005-09,57
2005-10,62
2005-11,51
2005-12,51
2006-01,43
2006-02,48
2006-03,48
2006-04,45
2006-05,50
2006-06,40
2006-07,45
2006-08,44
2006-09,44
2006-10,48
2006-11,40
2006-12,41
2007-01,39
2007-02,39
2007-03,40
2007-04,37
2007-05,38
2007-06,33
2007-07,39
2007-08,38
2007-09,41
2007-10,39
2007-11,38
2007-12,32
2008-01,37
2008-02,37
2008-03,36
2008-04,36
2008-05,34
2008-06,32
2008-07,37
2008-08,38
2008-09,39
2008-10,35
2008-11,36
2008-12,30
2009-01,32
2009-02,36
2009-03,33
2009-04,35
2009-05,34
2009-06,34
2009-07,40
2009-08,37
2009-09,35
2009-10,41
2009-11,34
2009-12,38
2010-01,37
2010-02,39
2010-03,39
2010-04,37
2010-05,35
2010-06,30
2010-07,37
2010-08,38
2010-09,36
2010-10,38
2010-11,33
2010-12,36
2011-01,32
2011-02,35
2011-03,35
2011-04,34
2011-05,31
2011-06,33
2011-07,36
2011-08,36
2011-09,39
2011-10,38
2011-11,35
2011-12,38
2012-01,37
2012-02,40
2012-03,42
2012-04,43
2012-05,37
2012-06,41
2012-07,43
2012-08,40
2012-09,47
2012-10,39
2012-11,37
2012-12,41
2013-01,37
2013-02,39
2013-03,39
2013-04,38
2013-05,36
2013-06,33
2013-07,43
2013-08,34
2013-09,40
2013-10,34
2013-11,36
2013-12,36
2014-01,34
2014-02,36
2014-03,33
2014-04,36
2014-05,35
2014-06,35
2014-07,40
2014-08,35
2014-09,38
2014-10,34
2014-11,36
2014-12,36
2015-01,35
2015-02,37
2015-03,37
2015-04,34
2015-05,34
2015-06,34
2015-07,40
2015-08,32
2015-09,32
2015-10,35
2015-11,34
2015-12,34
2016-01,36
2016-02,36
2016-03,37
2016-04,38
2016-05,36
2016-06,36
2016-07,37
2016-08,37
2016-09,38
2016-10,39
2016-11,37
2016-12,38
2017-01,33
2017-02,39
2017-03,38
2017-04,36
2017-05,38
2017-06,37
2017-07,43
2017-08,34
2017-09,38
2017-10,39
2017-11,38
2017-12,37
2018-01,37
2018-02,39
2018-03,46
2018-04,40
2018-05,39
2018-06,34
2018-07,41
2018-08,37
2018-09,42
2018-10,41
2018-11,38
2018-12,36
2019-01,38
2019-02,39
2019-03,38
2019-04,37
2019-05,38
2019-06,35
2019-07,44
2019-08,37
2019-09,41
2019-10,46
2019-11,40
2019-12,39
2020-01,42
2020-02,41
2020-03,40
2020-04,50
2020-05,44
2020-06,42
2020-07,46
2020-08,48
2020-09,48
2020-10,49
2020-11,45
