

Ay,otel: (Türkiye)
2004-01,41
2004-02,33
2004-03,27
2004-04,43
2004-05,46
2004-06,77
2004-07,100
2004-08,74
2004-09,39
2004-10,34
2004-11,32
2004-12,36
2005-01,31
2005-02,30
2005-03,32
2005-04,37
2005-05,48
2005-06,71
2005-07,88
2005-08,66
2005-09,35
2005-10,28
2005-11,24
2005-12,32
2006-01,26
2006-02,24
2006-03,30
2006-04,35
2006-05,45
2006-06,65
2006-07,81
2006-08,65
2006-09,32
2006-10,27
2006-11,24
2006-12,26
2007-01,23
2007-02,24
2007-03,26
2007-04,33
2007-05,39
2007-06,54
2007-07,69
2007-08,60
2007-09,29
2007-10,25
2007-11,23
2007-12,25
2008-01,24
2008-02,25
2008-03,29
2008-04,33
2008-05,40
2008-06,53
2008-07,71
2008-08,55
2008-09,35
2008-10,25
2008-11,24
2008-12,25
2009-01,23
2009-02,26
2009-03,25
2009-04,33
2009-05,36
2009-06,55
2009-07,69
2009-08,44
2009-09,30
2009-10,25
2009-11,23
2009-12,29
2010-01,25
2010-02,29
2010-03,32
2010-04,33
2010-05,36
2010-06,46
2010-07,63
2010-08,43
2010-09,33
2010-10,26
2010-11,24
2010-12,27
2011-01,23
2011-02,26
2011-03,26
2011-04,28
2011-05,30
2011-06,41
2011-07,55
2011-08,42
2011-09,30
2011-10,23
2011-11,23
2011-12,26
2012-01,24
2012-02,24
2012-03,25
2012-04,26
2012-05,28
2012-06,42
2012-07,47
2012-08,41
2012-09,27
2012-10,21
2012-11,19
2012-12,22
2013-01,19
2013-02,21
2013-03,22
2013-04,24
2013-05,28
2013-06,36
2013-07,44
2013-08,46
2013-09,26
2013-10,21
2013-11,18
2013-12,20
2014-01,20
2014-02,22
2014-03,19
2014-04,24
2014-05,27
2014-06,34
2014-07,45
2014-08,45
2014-09,24
2014-10,18
2014-11,19
2014-12,21
2015-01,20
2015-02,22
2015-03,22
2015-04,24
2015-05,28
2015-06,34
2015-07,54
2015-08,48
2015-09,29
2015-10,20
2015-11,21
2015-12,24
2016-01,24
2016-02,25
2016-03,23
2016-04,26
2016-05,31
2016-06,45
2016-07,56
2016-08,49
2016-09,32
2016-10,22
2016-11,21
2016-12,23
2017-01,25
2017-02,26
2017-03,27
2017-04,31
2017-05,37
2017-06,52
2017-07,70
2017-08,62
2017-09,36
2017-10,26
2017-11,25
2017-12,30
2018-01,32
2018-02,29
2018-03,30
2018-04,37
2018-05,35
2018-06,52
2018-07,78
2018-08,68
2018-09,38
2018-10,29
2018-11,27
2018-12,31
2019-01,32
2019-02,31
2019-03,31
2019-04,36
2019-05,38
2019-06,62
2019-07,75
2019-08,66
2019-09,37
2019-10,31
2019-11,31
2019-12,32
2020-01,35
2020-02,30
2020-03,18
2020-04,8
2020-05,11
2020-06,28
2020-07,56
2020-08,51
2020-09,28
2020-10,23
2020-11,18
