

Ay,restoran: (Türkiye)
2004-01,70
2004-02,100
2004-03,49
2004-04,49
2004-05,52
2004-06,58
2004-07,40
2004-08,85
2004-09,57
2004-10,67
2004-11,49
2004-12,72
2005-01,55
2005-02,81
2005-03,49
2005-04,56
2005-05,33
2005-06,57
2005-07,55
2005-08,55
2005-09,33
2005-10,64
2005-11,53
2005-12,40
2006-01,36
2006-02,43
2006-03,50
2006-04,40
2006-05,34
2006-06,41
2006-07,38
2006-08,26
2006-09,33
2006-10,53
2006-11,36
2006-12,39
2007-01,29
2007-02,34
2007-03,27
2007-04,27
2007-05,31
2007-06,29
2007-07,31
2007-08,32
2007-09,41
2007-10,31
2007-11,30
2007-12,29
2008-01,32
2008-02,33
2008-03,32
2008-04,30
2008-05,29
2008-06,25
2008-07,30
2008-08,31
2008-09,52
2008-10,26
2008-11,31
2008-12,33
2009-01,24
2009-02,32
2009-03,30
2009-04,26
2009-05,21
2009-06,25
2009-07,23
2009-08,37
2009-09,32
2009-10,23
2009-11,21
2009-12,20
2010-01,16
2010-02,19
2010-03,17
2010-04,18
2010-05,21
2010-06,19
2010-07,23
2010-08,26
2010-09,19
2010-10,19
2010-11,17
2010-12,23
2011-01,17
2011-02,21
2011-03,27
2011-04,20
2011-05,21
2011-06,25
2011-07,26
2011-08,35
2011-09,23
2011-10,22
2011-11,22
2011-12,26
2012-01,18
2012-02,23
2012-03,20
2012-04,24
2012-05,23
2012-06,26
2012-07,28
2012-08,30
2012-09,24
2012-10,22
2012-11,22
2012-12,22
2013-01,19
2013-02,23
2013-03,20
2013-04,22
2013-05,26
2013-06,21
2013-07,35
2013-08,32
2013-09,25
2013-10,24
2013-11,24
2013-12,23
2014-01,22
2014-02,26
2014-03,24
2014-04,26
2014-05,25
2014-06,27
2014-07,41
2014-08,31
2014-09,25
2014-10,23
2014-11,28
2014-12,29
2015-01,26
2015-02,31
2015-03,29
2015-04,30
2015-05,31
2015-06,37
2015-07,45
2015-08,35
2015-09,27
2015-10,31
2015-11,29
2015-12,27
2016-01,26
2016-02,31
2016-03,26
2016-04,32
2016-05,36
2016-06,51
2016-07,36
2016-08,36
2016-09,36
2016-10,35
2016-11,33
2016-12,32
2017-01,27
2017-02,35
2017-03,32
2017-04,35
2017-05,40
2017-06,52
2017-07,44
2017-08,47
2017-09,40
2017-10,36
2017-11,35
2017-12,37
2018-01,37
2018-02,40
2018-03,41
2018-04,41
2018-05,49
2018-06,50
2018-07,45
2018-08,47
2018-09,43
2018-10,41
2018-11,43
2018-12,41
2019-01,42
2019-02,48
2019-03,48
2019-04,49
2019-05,68
2019-06,57
2019-07,61
2019-08,62
2019-09,52
2019-10,51
2019-11,52
2019-12,52
2020-01,50
2020-02,48
2020-03,32
2020-04,17
2020-05,40
2020-06,50
2020-07,66
2020-08,88
2020-09,56
2020-10,52
2020-11,43
