

Ay,satılık ev: (Türkiye)
2004-01,9
2004-02,12
2004-03,15
2004-04,10
2004-05,16
2004-06,14
2004-07,14
2004-08,13
2004-09,15
2004-10,11
2004-11,13
2004-12,10
2005-01,11
2005-02,12
2005-03,12
2005-04,13
2005-05,17
2005-06,18
2005-07,15
2005-08,14
2005-09,16
2005-10,12
2005-11,15
2005-12,12
2006-01,11
2006-02,13
2006-03,15
2006-04,13
2006-05,12
2006-06,10
2006-07,9
2006-08,11
2006-09,11
2006-10,10
2006-11,10
2006-12,9
2007-01,12
2007-02,12
2007-03,13
2007-04,11
2007-05,12
2007-06,13
2007-07,14
2007-08,14
2007-09,14
2007-10,13
2007-11,13
2007-12,13
2008-01,16
2008-02,16
2008-03,16
2008-04,16
2008-05,15
2008-06,15
2008-07,14
2008-08,15
2008-09,14
2008-10,15
2008-11,13
2008-12,13
2009-01,16
2009-02,20
2009-03,17
2009-04,17
2009-05,15
2009-06,14
2009-07,15
2009-08,17
2009-09,16
2009-10,15
2009-11,14
2009-12,14
2010-01,14
2010-02,16
2010-03,17
2010-04,15
2010-05,14
2010-06,15
2010-07,15
2010-08,17
2010-09,17
2010-10,16
2010-11,16
2010-12,17
2011-01,18
2011-02,19
2011-03,19
2011-04,17
2011-05,17
2011-06,16
2011-07,16
2011-08,16
2011-09,18
2011-10,17
2011-11,18
2011-12,19
2012-01,17
2012-02,16
2012-03,17
2012-04,17
2012-05,14
2012-06,14
2012-07,18
2012-08,19
2012-09,18
2012-10,15
2012-11,16
2012-12,17
2013-01,17
2013-02,18
2013-03,21
2013-04,24
2013-05,21
2013-06,18
2013-07,21
2013-08,25
2013-09,25
2013-10,20
2013-11,21
2013-12,18
2014-01,23
2014-02,24
2014-03,21
2014-04,22
2014-05,23
2014-06,23
2014-07,23
2014-08,26
2014-09,23
2014-10,24
2014-11,26
2014-12,23
2015-01,24
2015-02,29
2015-03,31
2015-04,27
2015-05,25
2015-06,25
2015-07,29
2015-08,31
2015-09,26
2015-10,26
2015-11,27
2015-12,26
2016-01,28
2016-02,33
2016-03,34
2016-04,32
2016-05,32
2016-06,30
2016-07,34
2016-08,39
2016-09,37
2016-10,36
2016-11,34
2016-12,32
2017-01,35
2017-02,44
2017-03,37
2017-04,35
2017-05,33
2017-06,34
2017-07,42
2017-08,38
2017-09,36
2017-10,34
2017-11,33
2017-12,32
2018-01,34
2018-02,36
2018-03,35
2018-04,33
2018-05,34
2018-06,33
2018-07,39
2018-08,38
2018-09,35
2018-10,28
2018-11,26
2018-12,26
2019-01,28
2019-02,32
2019-03,33
2019-04,30
2019-05,26
2019-06,34
2019-07,36
2019-08,46
2019-09,41
2019-10,39
2019-11,37
2019-12,36
2020-01,43
2020-02,43
2020-03,35
2020-04,38
2020-05,61
2020-06,100
2020-07,76
2020-08,73
2020-09,52
2020-10,50
2020-11,45
