

Ay,yiyecek: (Türkiye)
2004-01,67
2004-02,100
2004-03,82
2004-04,62
2004-05,53
2004-06,70
2004-07,32
2004-08,52
2004-09,53
2004-10,46
2004-11,53
2004-12,20
2005-01,42
2005-02,52
2005-03,37
2005-04,71
2005-05,41
2005-06,38
2005-07,33
2005-08,36
2005-09,30
2005-10,41
2005-11,42
2005-12,27
2006-01,17
2006-02,27
2006-03,29
2006-04,43
2006-05,34
2006-06,32
2006-07,30
2006-08,25
2006-09,26
2006-10,24
2006-11,31
2006-12,32
2007-01,31
2007-02,28
2007-03,37
2007-04,25
2007-05,34
2007-06,23
2007-07,25
2007-08,22
2007-09,30
2007-10,36
2007-11,34
2007-12,32
2008-01,33
2008-02,35
2008-03,37
2008-04,37
2008-05,36
2008-06,31
2008-07,34
2008-08,29
2008-09,34
2008-10,35
2008-11,29
2008-12,35
2009-01,38
2009-02,43
2009-03,35
2009-04,37
2009-05,31
2009-06,26
2009-07,33
2009-08,30
2009-09,25
2009-10,32
2009-11,25
2009-12,38
2010-01,24
2010-02,29
2010-03,28
2010-04,36
2010-05,26
2010-06,26
2010-07,32
2010-08,27
2010-09,30
2010-10,29
2010-11,28
2010-12,34
2011-01,29
2011-02,28
2011-03,28
2011-04,30
2011-05,28
2011-06,18
2011-07,34
2011-08,24
2011-09,29
2011-10,29
2011-11,32
2011-12,37
2012-01,26
2012-02,40
2012-03,35
2012-04,32
2012-05,29
2012-06,30
2012-07,36
2012-08,35
2012-09,34
2012-10,30
2012-11,33
2012-12,34
2013-01,29
2013-02,32
2013-03,36
2013-04,38
2013-05,33
2013-06,28
2013-07,41
2013-08,35
2013-09,40
2013-10,35
2013-11,35
2013-12,40
2014-01,41
2014-02,41
2014-03,40
2014-04,46
2014-05,42
2014-06,38
2014-07,44
2014-08,38
2014-09,39
2014-10,41
2014-11,45
2014-12,49
2015-01,40
2015-02,43
2015-03,51
2015-04,51
2015-05,49
2015-06,42
2015-07,46
2015-08,47
2015-09,53
2015-10,49
2015-11,53
2015-12,63
2016-01,55
2016-02,56
2016-03,61
2016-04,58
2016-05,52
2016-06,51
2016-07,52
2016-08,50
2016-09,56
2016-10,63
2016-11,61
2016-12,58
2017-01,87
2017-02,56
2017-03,76
2017-04,58
2017-05,57
2017-06,54
2017-07,57
2017-08,49
2017-09,52
2017-10,64
2017-11,60
2017-12,60
2018-01,53
2018-02,63
2018-03,61
2018-04,60
2018-05,60
2018-06,54
2018-07,59
2018-08,56
2018-09,61
2018-10,63
2018-11,65
2018-12,77
2019-01,80
2019-02,84
2019-03,71
2019-04,60
2019-05,61
2019-06,55
2019-07,67
2019-08,66
2019-09,64
2019-10,75
2019-11,73
2019-12,67
2020-01,64
2020-02,63
2020-03,67
2020-04,69
2020-05,64
2020-06,57
2020-07,54
2020-08,62
2020-09,61
2020-10,62
2020-11,66
