"Date","Hour","Consumption (MWh)"
"12.02.2021","00:00","33,198.11"
"12.02.2021","01:00","31,645.28"
"12.02.2021","02:00","30,269.90"
"12.02.2021","03:00","29,650.81"
"12.02.2021","04:00","29,213.15"
"12.02.2021","05:00","29,493.58"
"12.02.2021","06:00","30,349.29"
"12.02.2021","07:00","31,978.65"
"12.02.2021","08:00","36,367.71"
"12.02.2021","09:00","39,417.41"
"12.02.2021","10:00","40,940.81"
"12.02.2021","11:00","42,022.26"
"12.02.2021","12:00","40,863.31"
"12.02.2021","13:00","39,788.29"
"12.02.2021","14:00","40,861.84"
"12.02.2021","15:00","40,418.24"
"12.02.2021","16:00","39,900.11"
"12.02.2021","17:00","39,780.05"
"12.02.2021","18:00","39,542.29"
"12.02.2021","19:00","39,512.23"
"12.02.2021","20:00","38,224.62"
"12.02.2021","21:00","37,162.33"
"12.02.2021","22:00","36,543.46"
"12.02.2021","23:00","35,472.24"
"13.02.2021","00:00","33,646.90"
"13.02.2021","01:00","32,183.01"
"13.02.2021","02:00","31,056.13"
"13.02.2021","03:00","30,053.68"
"13.02.2021","04:00","29,709.91"
"13.02.2021","05:00","29,833.31"
"13.02.2021","06:00","30,192.21"
"13.02.2021","07:00","30,250.30"
"13.02.2021","08:00","32,487.07"
"13.02.2021","09:00","34,380.36"
"13.02.2021","10:00","36,016.32"
"13.02.2021","11:00","37,185.41"
"13.02.2021","12:00","37,042.92"
"13.02.2021","13:00","37,341.13"
"13.02.2021","14:00","37,174.14"
"13.02.2021","15:00","36,130.55"
"13.02.2021","16:00","35,952.99"
"13.02.2021","17:00","36,408.13"
"13.02.2021","18:00","37,337.93"
"13.02.2021","19:00","37,850.13"
"13.02.2021","20:00","36,926.83"
"13.02.2021","21:00","35,859.50"
"13.02.2021","22:00","35,121.50"
"13.02.2021","23:00","33,808.00"
